1994000	29.152344	896	38.925781	768	1992	768	91	0.6875	12	30737700	925.152344	806.925781																																																																																																																										
1995000	25.132813	896	34.695313	768	1993	768	91	0.6875	12	30738700	921.132813	802.695313																																																																																																																										
1996000	21.488281	896	30.832031	768	1994	768	91	0.6875	12	30739700	917.488281	798.832031																																																																																																																										
1997000	17.269531	896	26.242188	768	1995	768	91	0.75	12	30740700	913.269531	794.242188																																																																																																																										
1998000	13.769531	896	22.378906	768	1996	768	91	0.6875	12	30741700	909.769531	790.378906																																																																																																																										
1999000	9.824219	896	17.992188	768	1997	768	91	0.6875	12	30742700	905.824219	785.992188																																																																																																																										
2000000	6.046875	896	13.789063	768	1998	768	91	0.6875	12	30743700	902.046875	781.789063																																																																																																																										
2001000	2.417969	896	9.679688	768	1999	768	91	0.6875	12	30744700	898.417969	777.679688																																																																																																																										
2002000	62.304688	832	5.070313	768	2000	768	91	0.6875	12	30745700	894.304688	773.070313																																																																																																																										
2003000	58.785156	832	1.1875	768	2001	768	91	0.6875	12	30746700	890.785156	769.1875																																																																																																																										
2004000	54.675781	832	60.652344	704	2002	768	91	0.6875	12	30747700	886.675781	764.652344																																																																																																																										
2005000	51.085938	832	56.632813	704	2003	768	91	0.6875	12	30748700	883.085938	760.632813																																																																																																																										
2006000	47.289063	832	52.386719	704	2004	768	91	0.6875	12	30749700	879.289063	756.386719																																																																																																																										
2007000	43.257813	832	47.976563	704	2005	768	91	0.6875	12	30750700	875.257813	751.976563																																																																																																																										
2008000	39.667969	832	44.015625	704	2006	768	91	0.6875	12	30751700	871.667969	748.015625																																																																																																																										
2009000	35.445313	832	39.441406	704	2007	768	91	0.6875	12	30752700	867.445313	743.441406																																																																																																																										
2010000	31.925781	832	35.628906	704	2008	768	91	0.6875	12	30753700	863.925781	739.628906																																																																																																																										
2011000	27.949219	832	31.234375	704	2009	768	91	0.6875	12	30754700	859.949219	735.234375																																																																																																																										
2012000	24.183594	832	27.027344	704	2010	768	91	0.6875	12	30755700	856.183594	731.027344																																																																																																																										
2013000	20.574219	832	22.960938	704	2011	768	91	0.6875	12	30756700	852.574219	726.960938																																																																																																																										
2014000	16.429688	832	18.394531	704	2012	768	91	0.6875	12	30757700	848.429688	722.394531																																																																																																																										
2015000	12.875	832	14.550781	704	2013	768	91	0.6875	12	30758700	844.875	718.550781																																																																																																																										
2016000	8.730469	832	10.054688	704	2014	768	91	0.6875	12	30759700	840.730469	714.054688																																																																																																																										
2017000	5.066406	832	6.148438	704	2015	768	91	0.6875	12	30760700	837.066406	710.148438																																																																																																																										
2018000	1.132813	832	2.039063	704	2016	768	91	0.6875	12	30761700	833.132813	706.039063																																																																																																																										
2019000	61.011719	768	61.75	640	2017	768	91	0.6875	12	30762700	829.011719	701.75																																																																																																																										
2020000	57.324219	768	57.933594	640	2018	768	91	0.6875	12	30763700	825.324219	697.933594																																																																																																																										
2021000	53.105469	768	53.378906	640	2019	768	91	0.6875	12	30764700	821.105469	693.378906																																																																																																																										
2022000	49.582031	768	49.480469	640	2020	768	91	0.6875	12	30765700	817.582031	689.480469																																																																																																																										
2023000	45.640625	768	45.175781	640	2021	768	91	0.6875	12	30766700	813.640625	685.175781																																																																																																																										
2024000	41.773438	768	40.945313	640	2022	768	91	0.6875	12	30767700	809.773438	680.945313																																																																																																																										
2025000	38.128906	768	36.953125	640	2023	768	91	0.6875	12	30768700	806.128906	676.953125																																																																																																																										
2026000	33.921875	768	32.433594	640	2024	768	91	0.6875	12	30769700	801.921875	672.433594																																																																																																																										
2027000	30.355469	768	28.625	640	2025	768	91	0.6875	12	30770700	798.355469	668.625																																																																																																																										
2028000	26.257813	768	24.285156	640	2026	768	91	0.6875	12	30771700	794.257813	664.285156																																																																																																																										
2029000	22.523438	768	20.328125	640	2027	768	91	0.6875	12	30772700	790.523438	660.328125																																																																																																																										
2030000	18.757813	768	16.285156	640	2028	768	91	0.6875	12	30773700	786.757813	656.285156																																																																																																																										
2031000	14.636719	768	11.839844	640	2029	768	91	0.6875	12	30774700	782.636719	651.839844																																																																																																																										
