1996020	24.75	25.9375	24.625	27.8125	24.375	31	26.6875	27.5625	-0.375	0.8125	3.25	2.75	1.125	-6.0625	2.5	-5.625	59.533199	77.91922	98.596977	89.065414	75.523308	25.834179	78.440071	68.543907	5.976563	4237.082031	-0.539063	0.09375	0.0625	-0.109375	32.55814	-1.162792																																																																																																						
1996040	27.0625	26.1875	26.625	28.3125	25.3125	30.1875	28.375	28.3125	-5	0	0	0.6875	0.4375	-9.5625	0	-7.75	59.064434	62.137451	83.596489	67.398041	60.835323	-5.260589	63.960426	63.074982	5.964844	4237.195313	-0.300781	0.046875	0.0625	-0.109375	33.720932	-1.162788																																																																																																						
1996060	28.5	27.25	26.625	29.625	25.5625	29.1875	28.375	28.5625	-6	-9.625	-0.75	-7.1875	0.875	-17.375	-8.5625	-9	51.355846	48.751595	62.554131	44.584793	46.095261	-34.844891	50.939167	47.293217	6.007813	4237.3125	2.15625	-0.015625	0.078125	-0.09375	34.88372	-1.162793																																																																																																						
1996080	28.0625	28.375	28.3125	31.0625	26.625	28.125	29.3125	28.8125	-5.875	-11.5625	-5.4375	-7.8125	-8.3125	-11.5625	-18.0625	-13.3125	41.720116	40.417992	36.615784	25.573753	33.646935	-44.01186	36.667866	23.177841	6.007813	4237.433594	0.277344	-0.046875	0.125	-0.078125	36.046513	-1.162788																																																																																																						
1996100	31.375	29.25	29.875	31.8125	26.3125	29.4375	28.125	29.375	-10.125	-6.4375	-8.875	-7.8125	-14.25	-10.625	-14.9375	-12.25	30.000982	32.917744	22.448652	8.281521	22.761162	-40.574245	22.865332	6.979395	5.921875	4237.550781	-4.027344	-0.140625	0.0625	-0.0625	37.209301	-1.162792																																																																																																						
1996120	32.125	29.25	29.875	30.5	27.875	26.375	30.5625	30.4375	-17.6875	-18.1875	-12.0625	-14.9375	-9.0625	-15.125	-11.875	-7.3125	11.614964	23.594522	5.468929	-3.177188	13.95879	-40.834671	13.95879	0.10417	6	4237.667969	4.0625	-0.109375	0.046875	-0.0625	38.372093	-1.162792																																																																																																						
1996140	30.4375	30.0625	29.1875	29.9375	28.375	24.6875	31.0625	28.8125	-10.0625	-17.6875	-14.6875	-9.8125	-14.75	1	-12.375	-15.1875	-7.135651	9.635732	-4.583484	-13.385856	5.104333	-43.491009	5.521014	-9.479477	6	4237.789063	0.363281	-0.203125	0.15625	-0.0625	39.534885	-1.162789																																																																																																						
1996160	29.75	30.9375	27.875	29.9375	28.125	25.625	30.8125	28.3125	-6.8125	-10.9375	-11.8125	-16.5	-17	-4	-16.9375	-9.4375	-25.104988	-5.468929	-17.240149	-21.042356	-6.875225	-49.949551	-7.916926	-21.09444	5.871094	4237.902344	-6.296875	-0.15625	-0.03125	-0.0625	40.697674	-1.162792																																																																																																						
1996180	29.75	30.625	28.75	29.0625	27.375	24.9375	30.0625	29.125	-5.9375	-16.0625	-20.5625	-16.9375	-13.875	-6.625	-9.6875	-5.6875	-48.647442	-21.927809	-30.157248	-23.6987	-18.177685	-59.064453	-22.709084	-33.646946	6.136719	4238.027344	13.414063	-0.171875	0.15625	-0.0625	41.860466	-1.162788																																																																																																						
1996200	29	29.25	27.0625	28.8125	26.875	23.5625	29.8125	28.3125	-5.3125	-9.3125	-15.875	-5.4375	-9.25	-3.8125	-11.5625	-10.5	-60.106155	-38.751282	-39.584641	-24.115381	-34.115711	-61.19994	-45.157742	-46.772381	5.972656	4238.144531	-8.023438	-0.296875	0.078125	-0.0625	43.023254	-1.162793																																																																																																						
1996220	27.0625	28.375	27.25	28.8125	26.3125	22	28.625	26.75	-7.875	-6.5625	-8.375	-5.0625	-7.8125	-4.1875	-8.9375	-10.5625	-65.627167	-55.574753	-48.75161	-31.563543	-46.616123	-71.616951	-60.05407	-56.408115	6.058594	4238.261719	4.339844	-0.171875	0	-0.046875	44.186047	-1.162792																																																																																																						
1996240	25.5	27.25	26.625	28.0625	25.3125	20.0625	27.1875	25.4375	-8.4375	-8.5	-8.375	-9.3125	-8.0625	-3.8125	-7.375	-8.3125	-74.325348	-70.52314	-59.897797	-43.491009	-58.283157	-86.356995	-72.033607	-71.512756	6.125	4238.382813	3.445313	-0.265625	0.140625	-0.046875	45.348839	-1.162788																																																																																																						
1996260	23.625	25.4375	24.4375	27.375	24.125	18.3125	25.3125	24.0625	-8.625	-9.5	-9.8125	-7.5625	-6.1875	-3.9375	-7.125	-6.75	-82.815239	-80.992264	-75.158737	-57.033134	-68.960609	-94.482292	-81.513115	-87.502892	6.027344	4238.5	-4.742188	-0.21875	0.015625	-0.03125	46.511627	-1.162792																																																																																																						
1996280	22	23.5	22.5625	26.1875	22.5	16.3125	23.5	22	-7.5	-7.5625	-9.375	-6.5	-6.625	-4.1875	-6.9375	-7.875	-87.763321	-89.273781	-85.732002	-73.596184	-79.794304	-99.222031	-89.898804	-97.08654	5.960938	4238.621094	-2.933594	-0.125	0	-0.03125	47.674419	-1.162789																																																																																																						
1996300	20.5	22.0625	20.8125	24.3125	20.625	14.375	21.5625	19.875	-6.75	-5.9375	-8.8125	-6.5	-7.375	-3	-6.5625	-7.9375	-90.263428	-98.753296	-99.274147	-89.117554	-88.909218	-102.711761	-94.065636	-105.420181	6.046875	4238.742188	4.46875	-0.21875	0.03125	-0.046875	48.837208	98.837208																																																																																																						
1996320	18.75	19.8125	18.8125	22.125	18.4375	12.1875	19.5625	17.625	-6.3125	-6.125	-8.625	-6.5	-7.625	-2.375	-6.5625	-7.6875	-94.534401	-106.409798	-107.555672	-100.8367	-96.721977	-105.680611	-96.253212	-113.649628	6.039063	4238.859375	-0.195313	-0.1875	0.03125	-0.03125	-50	-1.162792																																																																																																						
1996340	16.75	17.5	16.625	19.6875	16.5625	9.875	17.75	15.1875	-5.5625	-6.125	-8.1875	-6.5	-7.1875	-2.375	-6.5625	-6.9375	-99.378319	-111.514137	-111.097458	-109.951584	-102.60759	-107.972351	-97.50325	-119.066475	6.035156	4238.976563	0.0625	-0.125	-0.03125	-0.03125	-48.837208	-1.162789																																																																																																						
1996360	14.5625	15.1875	14.125	17.3125	14.5625	7.8125	15.75	12.8125	-5.3125	-5.375	-6.625	-6.75	-6.25	-2.8125	-6.125	-6	-106.826447	-116.930946	-115.212143	-115.732994	-106.305595	-108.076492	-101.357513	-122.972816	6.132813	4239.101563	5.0625	-0.234375	0.015625	-0.046875	-47.674419	-1.162792																																																																																																						
1996380	12.4375	12.6875	11.6875	15	12.5	5.625	13.75	10.125	-5.4375	-5.375	-5.25	-6.75	-6.25	-2.875	-6.125	-5.8125	-114.795464	-121.20192	-119.69146	-118.285156	-109.170273	-107.347298	-105.941002	-125.316643	6.09375	4239.214844	-1.660156	-0.09375	0	-0.03125	-46.511627	-1.162788																																																																																																						
1996400	10.1875	10.1875	9.1875	12.6875	10	3.25	11.8125	7.5625	-5.25	-5.125	-4.5	-6.75	-6	-2.25	-6.375	-4.9375	-120.941536	-122.764511	-123.702042	-121.722809	-112.660011	-105.524353	-113.024605	-127.556335	6.1875	4239.339844	4.722656	-0.140625	-0.03125	-0.03125	-45.348839	-1.162792																																																																																																						
1996420	7.75	7.8125	6.875	10.375	7.75	1.1875	9.6875	5.25	-4.6875	-5.125	-3.875	-6.5	-5.3125	-1.75	-6.125	-3.875	-124.379189	-125.316719	-125.681313	-125.681313	-117.816467	-103.80558	-121.045746	-130.056458	6.230469	4239.460938	2.34375	-0.0625	0.015625	-0.03125	-44.186047	-1.162793																																																																																																						
1996440	4.875	5.125	4.5	7.8125	5.5	-0.6875	6.875	2.375	-4.0625	-4.9375	-3.5	-5.6875	-4.875	-1.75	-5.125	-3.3125	-125.525063	-127.295952	-126.723015	-130.160629	-122.191612	-102.399284	-128.285568	-131.983612	6.21875	4239.585938	-0.308594	0.015625	-0.046875	-0.03125	-43.023254	-1.162788																																																																																																						
1996460	2.0625	2.8125	1.75	5.375	3.125	-2.6875	4.3125	0	-3.25	-4.375	-2.6875	-4.4375	-4.625	-2.1875	-4.9375	-3.25	-125.420891	-129.118927	-127.400124	-134.171188	-126.723015	-99.951279	-134.692032	-133.129486	6.34375	4239.707031	6.417969	0.015625	0	-0.03125	-41.860466	-1.162792																																																																																																						
1996480	-0.5	0.25	-1.125	2.25	0.4375	-4.6875	1.1875	-2.8125	-3.25	-3.9375	-2.5	-4	-4.625	-2.375	-4.5625	-2.875	-125.577148	-130.368973	-126.670929	-139.275528	-129.639786	-97.867882	-138.963013	-134.327438	6.339844	4239.832031	-0.496094	0.109375	-0.015625	-0.015625	-40.697674	-1.162789																																																																																																						
1996500	-2.75	-2.6875	-3.5	-0.6875	-2.375	-6.75	-1.6875	-5.75	-3.8125	-4.125	-2.3125	-3.75	-4.375	-2.5625	-4.375	-2.5	-124.63961	-132.087784	-126.670929	-145.265305	-132.764893	-96.305328	-139.900543	-134.27536	6.320313	4239.960938	-0.964844	0.203125	-0.03125	-0.015625	-39.534885	-1.162792																																																																																																						
1996520	-4.9375	-5.25	-6.0625	-3.5	-5	-8.6875	-4.5	-8.375	-4.1875	-4.125	-2.3125	-3.5625	-4.1875	-2.8125	-3.75	-2.125	-124.63961	-134.119095	-127.295952	-147.609131	-135.317062	-95.992813	-138.858841	-131.671097	6.417969	4240.085938	4.519531	0.21875	-0.015625	-0.015625	-38.372093	-1.162792																																																																																																						
1996540	-7.25	-8	-8.5	-6.1875	-7.9375	-10.4375	-7.3125	-11.0625	-4.1875	-3.75	-1.9375	-2.75	-3.5	-2.8125	-3.375	-2.125	-127.608505	-136.202545	-127.660591	-148.077942	-136.82756	-97.138718	-137.087997	-128.077271	6.433594	4240.214844	0.683594	0.234375	0	-0.015625	-37.209301	-1.162788																																																																																																						
1996560	-10.125	-10.5	-10.6875	-9.5	-10.5	-12.375	-9.9375	-13.6875	-4	-3.125	-1.5625	-2.9375	-3.25	-2.375	-2.75	-2.3125	-131.410675	-136.775436	-130.681488	-147.921646	-136.931702	-100.420052	-135.056625	-123.181229	6.449219	4240.339844	0.527344	0.25	-0.03125	-0.015625	-36.046513	-1.162793																																																																																																						
1996580	-12.625	-13.3125	-13.375	-13	-13.1875	-14.0625	-12.4375	-16.0625	-3.25	-2.9375	-1.125	-1.875	-2.3125	-1.5625	-2.75	-2.6875	-135.785858	-136.983826	-136.254623	-149.119644	-137.713013	-106.982803	-135.473358	-120.108246	6.519531	4240.472656	3.40625	0.234375	0	-0.03125	-34.88372	-1.162788																																																																																																						
1996600	-15.5625	-16.3125	-16.3125	-15.4375	-16	-16.1875	-15.25	-18.3125	-2.5	-2.75	-0.9375	-1.25	-1.8125	-0.75	-2.1875	-2.3125	-137.556793	-137.556793	-145.161224	-150.005142	-138.806839	-115.733139	-137.140121	-120.524963	6.488281	4240.601563	-1.726563	0.265625	-0.015625	-0.03125	-33.720932	-1.162796																																																																																																						
1996620	-18.6875	-19	-19.0625	-18.125	-18.8125	-18.625	-17.75	-20.3125	-1.6875	-2.375	-1.125	-1.4375	-1.375	-0.5625	-1.9375	-1.125	-137.452591	-137.400497	-153.807312	-148.598801	-139.22348	-124.74382	-138.4422	-121.410378	6.507813	4240.726563	0.914063	0.296875	-0.015625	-0.03125	-32.558136	-1.162788																																																																																																						
1996640	-21.3125	-21.6875	-22.3125	-21.375	-21.5	-21.25	-20.625	-22.625	-1.5	-2.375	-1.125	-1.4375	-1.375	-0.4375	-1.5625	-0.375	-135.212921	-137.400497	-158.599136	-146.098709	-140.99437	-130.837784	-140.161011	-123.129181	6.515625	4240.859375	0.097656	0.328125	0	-0.03125	-31.395348	-1.162789																																																																																																						
1996660	-24.125	-24.5	-25.5	-24.5625	-24.5	-24.375	-23.6875	-25.3125	-1.6875	-2.375	-1.3125	-1.25	-1.125	0.1875	-0.5625	0.1875	-135.733826	-137.140121	-160.109665	-144.692459	-141.046509	-135.160889	-140.056885	-127.035606	6.484375	4240.988281	-1.730469	0.328125	-0.03125	-0.03125	-30.232559	-1.162788																																																																																																						
1996680	-26.4375	-27.125	-29.625	-27.5	-27.3125	-27.375	-26.6875	-28.3125	-1.6875	-1.9375	-1.125	-0.8125	-0.6875	1.375	0.625	0	-137.713058	-140.473572	-160.57843	-144.275787	-138.650589	-136.983871	-137.81723	-135.369232	6.488281	4241.117188	-0.089844	0.328125	-0.015625	-0.03125	-29.069771	-1.162796																																																																																																						
1996700	-29.0625	-29.8125	-32.875	-30	-30.0625	-30.1875	-29.3125	-30.8125	-0.75	-1.375	2.4375	0.4375	0	0	1.0625	-0.4375	-139.223572	-147.140503	-160.578476	-141.046555	-136.827652	-139.27565	-135.056763	-137.921432	6.457031	4241.246094	-1.984375	0.296875	-0.015625	-0.03125	-27.906975	-1.162789																																																																																																						
1996720	-31.5625	-32.5625	-35.375	-32.9375	-33.0625	-32.5	-32.125	-33.3125	0.1875	-0.375	0.875	1.5625	-0.1875	-1.1875	1.9375	-0.875	-143.182083	-150.005234	-154.901245	-134.796371	-135.577652	-143.077911	-131.619171	-136.983948	6.433594	4241.375	-1.609375	0.296875	-0.03125	-0.046875	-26.744186	-1.162788																																																																																																						
1996740	-34.875	-35.5	-38.375	-35.8125	-35.625	-35.0625	-34.5	-36.25	1.5	0.4375	3.0625	2.75	-0.1875	-0.1875	2.1875	1.3125	-148.078033	-145.317535	-146.463394	-131.098282	-136.671402	-140.004852	-131.410797	-132.765015	6.398438	4241.503906	-2.1875	0.3125	-0.015625	-0.03125	-25.581398	-1.162796																																																																																																						
1996760	-38.375	-39.3125	-41.625	-38.3125	-37.8125	-37.875	-36.875	-40.25	2.3125	1.3125	2.5625	2.75	0	1.1875	1.9375	3.3125	-153.026169	-137.973572	-135.369308	-130.629562	-141.567444	-134.53595	-135.160965	-125.785645	6.316406	4241.632813	-4.378906	0.328125	-0.046875	-0.046875	-24.418602	-1.162788																																																																																																						
1996780	-41	-43.0625	-44.875	-40.75	-40.625	-41.3125	-39.3125	-41.75	2.0625	1.5625	5.6875	3.0625	1.8125	2	2.375	1.3125	-154.484558	-132.817139	-125.577301	-123.493896	-144.900894	-126.775261	-130.317047	-117.97287	6.289063	4241.757813	-1.738281	0.3125	-0.03125	-0.046875	-23.255814	-1.162789																																																																																																						
1996800	-44.1875	-45.25	-46.875	-42.8125	-43.4375	-45	-42	-44.0625	2.6875	1.3125	4	3.8125	3	5.9375	2.625	2.5625	-148.65097	-123.129257	-116.410278	-114.170616	-138.911057	-117.035301	-117.816574	-107.555801	6.210938	4241.882813	-4.097656	0.34375	-0.03125	-0.046875	-22.093025	-1.162796																																																																																																						
1996820	-47.5625	-46.1875	-48.9375	-45.6875	-46.9375	-46.25	-45.4375	-46.125	4.375	1.5625	4.625	3.4375	3.6875	4.5625	3	2.6875	-134.900497	-108.024574	-101.982697	-103.54525	-125.889771	-102.555634	-106.253677	-93.180305	6.117188	4242.007813	-4.914063	0.390625	-0.0625	-0.046875	-20.930229	-1.162788																																																																																																						
1996840	-50.625	-48	-50.8125	-48.75	-50.6875	-47.875	-49	-47.8125	6.6875	1.5625	5	4.625	4.625	5.25	3.25	3.875	-116.931129	-87.971794	-85.940475	-92.242775	-109.847549	-85.211281	-92.034431	-75.888039	6.050781	4242.128906	-3.539063	0.390625	-0.03125	-0.046875	-19.767441	-1.162789																																																																																																						
1996860	-53.3125	-51.25	-52.375	-49.125	-53.25	-49.3125	-49	-49.4375	8.8125	2.625	7.125	6.625	6.0625	6.8125	6.5	5.0625	-95.940849	-68.439888	-70.262871	-79.690285	-88.857269	-65.939804	-76.40892	-65.471039	5.945313	4242.25	-5.46875	0.390625	-0.046875	-0.0625	-18.604652	-1.162788																																																																																																						
1996880	-54.5625	-52.5625	-54.1875	-50.75	-53.5	-50.6875	-49	-50.8125	10.4375	4.125	10.0625	8.0625	6.75	8.25	8.4375	4.875	-69.32534	-56.043625	-55.31443	-67.085678	-67.971123	-48.282936	-60.887543	-54.324814	5.839844	4242.367188	-5.382813	0.359375	-0.0625	-0.0625	-17.441864	-1.162796																																																																																																						
1996900	-55.4375	-53.1875	-54.8125	-51.875	-53.5	-51.5	-50.6875	-51.5	10.75	4.75	10	10.625	9.1875	9.875	10.5625	7.4375	-40.001396	-45.418251	-39.897224	-52.606003	-47.189148	-35.46999	-44.8974	-44.636974	5.734375	4242.484375	-5.308594	0.328125	-0.03125	-0.0625	-16.279068	-1.162788																																																																																																						
1996920	-56	-53.1875	-55.4375	-52.8125	-54.5	-52.1875	-51.5625	-51.5	12.3125	9.6875	9.8125	11.3125	11.25	9.5	11.1875	8.875	-15.313034	-30.261473	-26.980108	-41.14727	-31.251091	-22.24036	-34.844967	-35.46999	5.589844	4242.601563	-7.09375	0.34375	-0.046875	-0.046875	-15.11628	-1.162789																																																																																																						
1996940	-56	-53	-55.75	-53.5625	-55	-52.375	-52.4375	-52.375	13.1875	10.375	11.6875	13.8125	12.25	9.6875	12.75	12.8125	4.010557	-15.208864	-16.198483	-33.178242	-25.78215	-10.364944	-31.771942	-26.980108	5.488281	4242.710938	-5.277344	0.296875	-0.046875	-0.046875	-13.953491	-1.162796																																																																																																						
1996960	-55.4375	-53.875	-55.4375	-54.3125	-55.8125	-52.1875	-53.3125	-53.3125	13.875	12	14.125	15.9375	12.5625	13.75	13.3125	14.25	16.250563	-13.59422	-8.854473	-20.469458	-27.240526	0.416681	-24.271673	-18.021456	5.347656	4242.820313	-6.855469	0.265625	-0.015625	-0.046875	-12.790695	-1.162788																																																																																																						
1996980	-54.25	-54.375	-55.4375	-54.5625	-56.125	-51.75	-53.3125	-53.75	16.125	14.0625	14.9375	15.6875	13	17.5	12.75	15.625	24.896711	-14.062995	-2.864684	-8.958649	-26.875946	10.364949	-11.302481	-8.646137	5.207031	4242.929688	-7.429688	0.1875	-0.03125	-0.03125	-11.627907	-1.162789																																																																																																						
1997000	-53.9375	-54.125	-55.75	-54.8125	-56.375	-51.75	-53.625	-53.75	20.9375	15.4375	14.3125	14.4375	13.6875	18.875	12.75	16	34.949139	-14.010905	4.427238	3.958472	-22.813295	19.584017	2.291747	6.458559	5.101563	4243.035156	-5.503906	0.109375	-0.03125	-0.03125	-10.465118	-1.162796																																																																																																						
1997020	-53.3125	-53.875	-55.75	-54.3125	-57.1875	-51.5	-53.3125	-53.75	22.5625	11.75	14.3125	15.3125	15.3125	18.1875	11.875	16.1875	46.251629	0.312511	12.760866	21.511175	-15.677635	30.417738	21.042408	29.584375	4.984375	4243.136719	-6.230469	0.109375	-0.015625	-0.015625	-9.302322	-1.162788																																																																																																						
1997040	-52.75	-55.3125	-56.0625	-53.8125	-57.6875	-50.9375	-53.0625	-53.0625	16	8.5	13.75	13	11.375	19.375	10.125	16.375	59.064583	32.344891	25.834244	42.449413	7.396094	43.959881	37.918003	54.324829	4.792969	4243.234375	-9.917969	0.078125	-0.015625	-0.015625	-8.139534	-1.162788																																																																																																						
1997060	-52.125	-55.3125	-55.125	-53.3125	-57.9375	-49.875	-52.4375	-52.125	17.375	8.75	13.5	13.125	10.25	20.5	9.875	14.625	74.429726	59.220856	46.043304	63.439754	40.886871	59.637535	55.470722	77.242332	4.640625	4243.328125	-7.804688	0.078125	0	0	-6.976746	-1.162789																																																																																																						
1997080	-50	-55.0625	-54.1875	-52.125	-57.9375	-48.875	-51	-49.875	21.6875	12.875	17.875	17.125	11.8125	20.625	12.875	19.1875	90.99279	83.544609	68.960762	82.71125	72.137955	77.711075	72.554642	95.784622	4.480469	4243.425781	-8.277344	0.078125	0	0	-5.813957	-1.162796																																																																																																						
1997100	-47.5625	-51.25	-52.9375	-49.625	-56.875	-46.875	-48.4375	-47.0625	28.4375	15.9375	23.1875	23.8125	15.125	22.25	17.9375	27.8125	105.316246	105.107903	88.2323	96.670105	102.08696	91.774094	85.315529	108.805954	4.359375	4243.519531	-6.152344	0.109375	-0.015625	0	-4.651161	-1.162788																																																																																																						
1997120	-45	-45.6875	-50.5	-46.875	-52.0625	-44.5	-47.125	-44.375	34.6875	21.625	28.4375	28.5	20.5625	26.625	23.8125	38.1875	116.462433	122.920998	102.816124	107.087105	124.118958	102.347359	95.836708	114.535286	4.300781	4243.609375	-2.953125	0.15625	0	0	-3.488373	-1.162789																																																																																																						
1997140	-42.1875	-44.3125	-47.4375	-44.25	-47.1875	-42.125	-44.5	-41.75	45	28.75	33.25	34.8125	26.3125	34.9375	32.1875	48.5625	122.295975	128.233688	110.055962	112.50396	136.9319	109.118431	101.878586	115.993668	4.253906	4243.699219	-2.460938	0.171875	-0.015625	0	-2.325584	-1.162796																																																																																																						
1997160	-40	-42.0625	-44.625	-41.9375	-45.3125	-39.4375	-42.4375	-39.625	56.5	36.3125	40.1875	42.625	31.75	44.9375	41.625	60.8125	122.087631	124.379379	114.118607	113.181068	140.1091	112.608131	104.743271	113.076897	4.253906	4243.789063	-0.097656	0.171875	-0.03125	0	-1.162788	-1.162788																																																																																																						
1997180	-37.5	-40.125	-42.625	-40.0625	-42.6875	-37.5625	-40.625	-37.75	65.375	45.625	46.1875	52.9375	38.3125	53.875	51.5	70.9375	121.045929	110.472641	112.920647	109.378853	131.82756	111.878944	105.055786	109.847618	4.28125	4243.878906	1.363281	0.1875	-0.046875	0	0	-1.176471																																																																																																						
1997200	-35.125	-38.0625	-40.75	-38.0625	-40.625	-35.375	-38.4375	-35.9375	71.375	53.5625	52.125	60.375	47.875	60.6875	59.1875	77.3125	119.5355	100.524406	108.441353	105.628754	116.983322	111.774803	108.649696	109.847656	4.3125	4243.96875	1.683594	0.171875	-0.046875	0	1.176471	-1.17647																																																																																																						
1997220	-32.875	-36.0625	-38.8125	-36.125	-38.625	-33.1875	-36.375	-33.625	76.875	58.0625	55.25	66.6875	56.0625	66.5	64.0625	82.5	119.222954	103.389061	104.534935	104.014084	109.53511	113.910263	109.691368	112.660217	4.355469	4244.0625	2.242188	0.1875	-0.046875	0	2.352941	-1.176471																																																																																																						
1997240	-30.5	-34	-36.625	-33.75	-36.4375	-31.0625	-33.9375	-31.25	81.5	61.375	57.75	72.5	60.5625	70.4375	69.75	88.25	120.264656	104.587021	105.212036	105.524551	111.514343	117.243713	112.764389	117.399971	4.40625	4244.152344	2.511719	0.234375	-0.03125	0	3.529412	-1.176471																																																																																																						
1997260	-28	-32	-34.75	-31.6875	-34.5	-28.875	-31.875	-28.9375	84.5625	64.875	59.875	76.8125	64.875	73.875	76.1875	93.625	121.254311	107.191307	109.79557	109.79557	113.337364	122.191841	116.566643	122.921036	4.429688	4244.246094	1.265625	0.28125	-0.03125	0	4.705883	-1.17647																																																																																																						
1997280	-25.6875	-29.8125	-32.4375	-29.6875	-31.9375	-26.1875	-29.3125	-26.25	87.6875	67	62.5625	80.3125	70.375	77.625	80.8125	98.75	124.796104	110.628929	115.056175	114.431152	118.129196	125.941978	119.587585	126.827423	4.476563	4244.339844	1.980469	0.34375	-0.03125	0	5.882353	-1.176471																																																																																																						
1997300	-23.0625	-27.5625	-30.1875	-27.5	-29.5	-23.3125	-26.9375	-23.5625	89.6875	68.4375	65.4375	83.5	74.75	80.875	85.1875	103.1875	127.973297	114.639488	119.743835	119.900093	122.764778	130.004623	123.546059	128.754578	4.511719	4244.433594	1.359375	0.4375	-0.03125	0	7.058824	-1.17647																																																																																																						
1997320	-20.6875	-25.25	-27.5625	-25	-27.125	-20.625	-24.5625	-21.0625	91	70.0625	68.8125	87.25	79.1875	84.8125	90.0625	106.875	130.108795	119.170898	123.962738	124.379417	127.139938	132.97348	126.723251	130.525467	4.5625	4244.527344	2.152344	0.484375	-0.03125	0	8.235294	-1.176471																																																																																																						
1997340	-18.0625	-22.875	-24.9375	-22.25	-24.5	-18.125	-21.9375	-18.3125	92.375	71.8125	72.25	91.3125	83.5625	87.6875	94.375	109.3125	130.421295	124.483589	128.129547	129.327515	130.525467	134.848541	130.160873	131.827606	4.613281	4244.621094	2.199219	0.546875	-0.015625	0	9.411765	-1.17647																																																																																																						
1997360	-14.9375	-20.25	-22.3125	-19.5625	-21.6875	-15.5	-19.3125	-15.8125	93.125	73	75.5625	94.5	87.0625	90.125	98.5	110.4375	130.785934	128.962952	131.150528	133.181854	131.775558	135.109009	132.504745	132.556839	4.671875	4244.722656	2.601563	0.5625	-0.03125	0	10.588235	-1.176471																																																																																																						
1997380	-12.375	-17.6875	-19.75	-16.6875	-19.0625	-12.625	-16.4375	-13.1875	92.0625	73.75	78.5	97.5	89.875	92.0625	102.1875	109.6875	129.692154	132.348495	132.348495	135.369431	132.921432	136.411133	133.754791	133.65062	4.75	4244.816406	3.574219	0.578125	-0.015625	0	11.764706	-1.17647																																																																																																						
1997400	-9.8125	-14.9375	-17.0625	-14.0625	-16.25	-10	-13.75	-10.4375	90.25	74.125	81.375	98.375	91.5	93	103.4375	107.4375	129.379639	135.369431	132.661011	135.629868	133.598541	139.22374	133.702713	135.681946	4.824219	4244.917969	3.5	0.546875	-0.03125	0	12.941176	-1.176471																																																																																																						
1997420	-7.5625	-12	-14.375	-11.375	-13.6875	-7.1875	-11.0625	-7.75	86.125	73.9375	83.5	97	91.3125	92.0625	102.8125	102.625	128.910873	137.76535	131.775558	135.734039	133.129776	141.567581	131.202621	136.202805	4.929688	4245.015625	5.140625	0.515625	-0.015625	0	14.117647	-1.176471																																																																																																						
1997440	-4.9375	-9.25	-11.5	-8.6875	-11.0625	-4.4375	-8.25	-4.9375	79.8125	71.875	83.4375	94.25	89.25	90.4375	99.8125	95.4375	127.712914	138.702896	130.160919	135.786118	133.181854	142.609283	129.535889	136.463226	5.023438	4245.117188	4.398438	0.515625	-0.015625	0	15.294118	-1.176471																																																																																																						
1997460	-2.5	-6.625	-9.125	-5.9375	-8.4375	-1.375	-5.875	-2.1875	72.5	68.875	82.75	90.625	85	86.875	94.6875	86.5625	128.858826	140.005066	129.900528	136.202835	131.827682	142.453064	129.588013	134.952789	5.117188	4245.226563	4.605469	0.46875	-0.03125	0	16.470589	-1.176469																																																																																																						
1997480	0.25	-3.75	-6.375	-3.3125	-5.75	1.6875	-3.375	0.75	63.8125	65.4375	81	84.625	79.0625	80.9375	87.5625	76.5625	131.202667	140.057144	130.890152	138.025818	130.108871	141.880127	131.150574	132.713135	5.222656	4245.332031	4.914063	0.4375	-0.015625	0	17.647058	-1.176472																																																																																																						
1997500	3.0625	-0.875	-4.0625	-0.4375	-3.125	4.4375	-1.1875	3.25	53.8125	61.5625	77.875	77.8125	72.1875	74.875	80.125	65.75	132.765213	139.536301	132.192276	139.484207	129.952621	140.890518	132.40062	129.952621	5.324219	4245.4375	4.574219	0.421875	-0.015625	0	18.82353	-1.17647																																																																																																						
1997520	5.5	1.8125	-1.6875	2.25	-0.25	7.1875	1.625	5.8125	43.9375	58.375	73.9375	71.3125	65.1875	68.75	72.125	55.0625	134.015259	139.484207	133.963181	140.265488	129.483841	139.432129	133.02565	128.181717	5.421875	4245.546875	4.632813	0.375	-0.015625	0	20	-1.17647																																																																																																						
1997540	8.1875	4.8125	1.25	5.125	1.875	9.875	4.75	8.1875	34.5	55.625	69.6875	65.125	58.75	63.1875	65	43.375	133.650665	139.275864	135.838242	140.369659	129.588013	136.723694	134.171524	127.817123	5.515625	4245.660156	4.382813	0.34375	-0.015625	0	21.17647	-1.176472																																																																																																						
1997560	11.125	7.5	4.3125	8.125	4.375	12.5	7.625	10.6875	26.375	52.75	64.125	59.125	52.8125	57.5625	57.625	31.25	129.53598	137.557098	136.046631	139.432175	128.702606	132.817337	135.26535	126.306686	5.609375	4245.769531	4.15625	0.28125	-0.015625	0	22.352942	-1.176469																																																																																																						
1997580	13.5625	10.1875	7.0625	10.9375	7.1875	15.375	10.1875	13.0625	19.0625	48.4375	56.875	53.5625	47.4375	52.3125	50	19.5	123.546173	135.473694	135.4216	136.72374	128.598434	130.213089	134.32782	122.660721	5.695313	4245.886719	4.265625	0.25	0	0	23.529411	-1.176472																																																																																																						
